alpha,ratio,angle,facade,mean,std,min,max,p25,p50,p75,iqr,range,cv,skewness,kurtosis
Alpha1_6,3_1_4,0,Windward,0.696840,0.171682,0.234661,1.306622,0.575802,0.690777,0.803485,0.227684,1.071961,0.246372,0.242952,-0.120605
Alpha1_6,3_1_4,0,SideRight,-0.810340,0.202833,-1.887339,-0.353939,-0.909607,-0.783145,-0.669967,0.239640,1.533400,0.250306,-1.094993,1.958602
Alpha1_6,3_1_4,0,Leeward,-0.707734,0.109230,-1.370598,-0.410416,-0.766899,-0.694532,-0.635497,0.131401,0.960182,0.154337,-0.870125,1.961108
Alpha1_6,3_1_4,0,SideLeft,-0.859517,0.206916,-2.168751,-0.357528,-0.974631,-0.837931,-0.715807,0.258824,1.811223,0.240736,-1.049048,2.558183
Alpha1_6,3_1_4,5,Windward,0.715751,0.178088,0.230243,1.401714,0.588128,0.704257,0.838637,0.250509,1.171471,0.248813,0.222216,-0.200513
Alpha1_6,3_1_4,5,SideRight,-0.839349,0.200372,-1.765664,-0.305795,-0.950994,-0.813120,-0.700690,0.250304,1.459869,0.238724,-0.734319,0.800392
Alpha1_6,3_1_4,5,Leeward,-0.720058,0.106171,-1.182594,-0.398817,-0.786087,-0.709738,-0.645006,0.141080,0.783777,0.147448,-0.524208,0.380467
Alpha1_6,3_1_4,5,SideLeft,-0.852459,0.207912,-2.072489,-0.259228,-0.960473,-0.828123,-0.709170,0.251302,1.813261,0.243897,-0.968815,2.061957
Alpha1_6,3_1_4,10,Windward,0.699284,0.176630,0.191789,1.385474,0.572861,0.688765,0.818757,0.245896,1.193685,0.252587,0.312112,-0.028349
Alpha1_6,3_1_4,10,SideRight,-0.838302,0.218769,-1.966356,-0.305761,-0.965247,-0.811539,-0.689028,0.276218,1.660595,0.260967,-0.780558,1.327703
Alpha1_6,3_1_4,10,Leeward,-0.676058,0.109270,-1.151088,-0.369948,-0.745960,-0.667755,-0.597949,0.148011,0.781140,0.161628,-0.410581,0.075465
Alpha1_6,3_1_4,10,SideLeft,-0.777043,0.197269,-2.086488,-0.338835,-0.870202,-0.749642,-0.645724,0.224478,1.747654,0.253872,-1.198906,2.806207
Alpha1_6,3_1_4,15,Windward,0.692166,0.168451,0.230073,1.393066,0.571940,0.684761,0.798508,0.226568,1.162994,0.243368,0.379099,0.145537
Alpha1_6,3_1_4,15,SideRight,-0.914593,0.250267,-2.527467,-0.271833,-1.049118,-0.872395,-0.743644,0.305474,2.255634,0.273637,-1.029496,1.987656
Alpha1_6,3_1_4,15,Leeward,-0.715575,0.132258,-1.503020,-0.383050,-0.777598,-0.692201,-0.626241,0.151357,1.119969,0.184828,-1.289101,3.030977
Alpha1_6,3_1_4,15,SideLeft,-0.784658,0.192293,-1.957023,-0.350837,-0.874579,-0.754765,-0.653333,0.221246,1.606186,0.245065,-1.298176,3.022232
Alpha1_6,3_1_4,20,Windward,0.664696,0.158760,0.243329,1.213017,0.550211,0.657243,0.769100,0.218889,0.969688,0.238846,0.296764,-0.153480
Alpha1_6,3_1_4,20,SideRight,-0.927829,0.243575,-2.056973,-0.330386,-1.079706,-0.902857,-0.751776,0.327930,1.726588,0.262521,-0.612727,0.434568
Alpha1_6,3_1_4,20,Leeward,-0.675771,0.118777,-1.394045,-0.387318,-0.743788,-0.664578,-0.591720,0.152068,1.006727,0.175765,-0.799808,1.606795
Alpha1_6,3_1_4,20,SideLeft,-0.745227,0.176232,-1.912492,-0.276548,-0.816993,-0.713757,-0.629813,0.187179,1.635943,0.236481,-1.387917,3.317274
